Date,Boston Celtics,Miami Heat,Chicago Bulls,Orlando Magic,Los Angeles Clippers,Toronto Raptors,New Jersey Nets,Houston Rockets,Detroit Pistons,Milwaukee Bucks,Oklahoma City Thunder,Denver Nuggets,Memphis Grizzlies,New Orleans Hornets,Philadelphia 76ers,Los Angeles Lakers,Atlanta Hawks,Minnesota Timberwolves,Sacramento Kings,Utah Jazz,Indiana Pacers,Washington Wizards,Cleveland Cavaliers,New York Knicks,San Antonio Spurs,Dallas Mavericks,Phoenix Suns,Charlotte Bobcats,Portland Trail Blazers,Golden State Warriors
2011-12-25,1677.76771686054,1472.2393802185843,1584.6445710522203,1572.3922589397077,1473.6936077847565,1424.8425453128464,1622.51642381182,1498.8691886110066,1425.9842454639497,1479.095455253444,1467.360916065928,1399.4194977117331,1419.0000539424668,1550.1937880575251,1385.1804869470661,1384.0582282812438,1656.852970658026,1588.29430697022,1551.8300734067602,1596.5769058171168,1436.2428451688147,1568.2224519722613,1491.9921308765595,1299.785927327231,1483.1158146502519,1756.5744540179185,1559.743247371904,1312.7501211104504,1545.9091368428262,1314.851249494821
2011-12-26,1648.351709497602,1510.6209977141255,1586.6067294684312,1572.3922589397077,1473.6936077847565,1424.8425453128464,1622.51642381182,1498.8691886110066,1425.9842454639497,1479.095455253444,1467.360916065928,1399.4194977117331,1419.0000539424668,1550.1937880575251,1385.1804869470661,1382.0960698650329,1656.852970658026,1588.29430697022,1551.8300734067602,1596.5769058171168,1436.2428451688147,1568.2224519722613,1491.9921308765595,1329.201934690169,1483.1158146502519,1718.1928365223773,1559.743247371904,1312.7501211104504,1545.9091368428262,1314.851249494821
2011-12-27,1648.351709497602,1510.6209977141255,1586.6067294684312,1539.1586516148666,1483.3281314220028,1424.8425453128464,1622.51642381182,1498.8691886110066,1425.9842454639497,1479.095455253444,1500.5945233907692,1399.4194977117331,1419.0000539424668,1550.1937880575251,1385.1804869470661,1382.0960698650329,1656.852970658026,1588.29430697022,1551.8300734067602,1596.5769058171168,1436.2428451688147,1568.2224519722613,1491.9921308765595,1329.201934690169,1483.1158146502519,1718.1928365223773,1559.743247371904,1312.7501211104504,1545.9091368428262,1305.2167258575748
2011-12-28,1648.351709497602,1510.6209977141255,1539.5779438742077,1563.0822754277726,1483.3281314220028,1440.8681883749427,1630.5416899936279,1474.9455647981006,1394.5759361631797,1462.1973967090553,1512.6767546089222,1465.5493036147068,1391.1736143161497,1555.8127847037172,1375.2050296436505,1367.3090648518105,1656.852970658026,1576.212075752067,1566.6170784199826,1596.5769058171168,1467.6511544695848,1560.1971857904534,1475.966487814463,1329.201934690169,1510.942254276569,1652.0630306194037,1554.124250725712,1329.6481796548392,1555.8845941462419,1352.2455114517984
2011-12-29,1612.6031029795306,1546.369604232197,1539.5779438742077,1563.0822754277726,1483.3281314220028,1432.5560823172532,1600.9591862264508,1474.9455647981006,1394.5759361631797,1483.0859523334498,1512.6767546089222,1465.5493036147068,1391.1736143161497,1555.8127847037172,1375.2050296436505,1457.8213506285595,1686.435474425203,1555.3235201276725,1516.3450068454997,1506.0646200403678,1475.9632605272743,1560.1971857904534,1475.966487814463,1329.201934690169,1510.942254276569,1652.0630306194037,1554.124250725712,1329.6481796548392,1606.1566657207247,1352.2455114517984
2011-12-30,1561.162867787536,1548.1632589789374,1539.5779438742077,1563.0822754277726,1434.268280184052,1432.5560823172532,1600.9591862264508,1474.9455647981006,1381.79079985667,1483.0859523334498,1516.8253483886306,1511.2197483217674,1387.0250205364414,1607.2530198957118,1417.9824188875866,1457.8213506285595,1714.0213822572746,1555.3235201276725,1516.3450068454997,1460.3941753333072,1475.9632605272743,1532.6112779583818,1488.7516241209728,1295.8169117753737,1560.0021055145198,1652.0630306194037,1511.346861481776,1327.8545249080987,1606.1566657207247,1385.6305343665938
2011-12-31,1561.162867787536,1548.1632589789374,1552.0369583544266,1606.6073418294852,1434.268280184052,1432.5560823172532,1557.4341198247382,1532.1408507397564,1381.79079985667,1483.0859523334498,1535.7479603282345,1491.3880851787833,1387.0250205364414,1607.2530198957118,1417.9824188875866,1480.8030611573254,1714.0213822572746,1555.3235201276725,1503.8859923652808,1460.3941753333072,1475.9632605272743,1532.6112779583818,1488.7516241209728,1272.8352012466078,1502.806819572864,1633.1404186797997,1511.346861481776,1327.8545249080987,1625.9883288637088,1385.6305343665938
2012-01-01,1577.2205871969463,1554.8107369580011,1561.3065266966269,1611.8898640907516,1424.9987118418517,1416.2641911927712,1543.936062681764,1466.6184491862177,1401.2347664387994,1537.2035437404231,1535.7479603282345,1475.3441078035282,1452.54742208998,1580.7302263800207,1404.3359573553678,1496.8470385325804,1727.5194394002488,1548.6760421486088,1503.8859923652808,1474.040636865526,1464.7572946218083,1478.4936865514085,1464.4559040348988,1272.8352012466078,1502.806819572864,1649.4323098042817,1537.869654997467,1322.5720026468323,1625.9883288637088,1385.6305343665938
2012-01-02,1584.79102975393,1585.350853889109,1561.3065266966269,1622.399082158788,1424.9987118418517,1405.754973124735,1495.5080452346035,1521.6504602626849,1401.2347664387994,1537.2035437404231,1564.807811188812,1475.3441078035282,1452.54742208998,1580.7302263800207,1429.828108418179,1496.8470385325804,1672.4874283237816,1548.6760421486088,1450.6696473840095,1439.7127916270224,1464.7572946218083,1470.9232439944249,1512.8839214820593,1326.051546227879,1537.1346648113677,1649.4323098042817,1508.8098041368896,1292.0318857157245,1625.9883288637088,1360.1383833037826
2012-01-03,1584.79102975393,1585.350853889109,1613.6212586124564,1622.399082158788,1456.5052394643449,1405.754973124735,1495.5080452346035,1521.6504602626849,1401.2347664387994,1537.2035437404231,1564.807811188812,1504.155832203246,1400.2326901741505,1526.2911824530352,1429.828108418179,1468.0353141328626,1672.4874283237816,1601.7618944258058,1505.108691310995,1439.7127916270224,1464.7572946218083,1470.9232439944249,1512.8839214820593,1326.051546227879,1537.1346648113677,1596.3464575270846,1527.0569551206092,1292.0318857157245,1594.4818012412156,1341.891232320063
2012-01-04,1602.033943404071,1577.326574083477,1613.6212586124564,1571.1864250342055,1456.5052394643449,1412.2085788353115,1475.9295432416657,1521.6504602626849,1452.4474235633818,1515.6989417458808,1533.838884502791,1525.6604341977884,1400.2326901741505,1504.1271164587895,1429.828108418179,1468.0353141328626,1680.5117081294136,1625.2885079799507,1505.108691310995,1461.876857621268,1484.3357966147462,1453.680330344284,1512.8839214820593,1319.5979405173025,1513.6080512572228,1627.3153842131055,1527.0569551206092,1292.0318857157245,1594.4818012412156,1341.891232320063
